old_name,new_name
sam,samwell tarly
sam tarly,samwell tarly
daario,daario naharis
sandor,sandor clegane
beric,beric dondarrion
roose,roose bolton
loras,loras tyrell
barristan,barristan selmy
lancel,lancel lannister
walder,walder frey
waldery frey,walder frey
renly,renly baratheon
renly dwarf,gay dwarf
balon,balon greyjoy
balon dwarf,iron dwarf
robb dwarf,wolf dwarf
stannis dwarf,fire dwarf
joffrey dwarf,incest dwarf
janos,janos slynt
janos slunt,janos slynt
edmure,edmure tully
lyanna,lyanna mormont
lysa,lysa arryn
alliser,alliser thorne
alliser thorn,alliser thorne
alliser throne,alliser thorne
petyr,petyr baelish
mace,mace tyrell
mountain,gregor clegane
royce,yohn royce
jeor,jeor mormont
varys,lord varys
selyse,selyse baratheon
shireen,shireen baratheon
myrcella,myrcella baratheon
robin,robin arryn
ed,eddison tollett
edd,eddison tollett
dolorous edd,eddison tollett
pycelle,grand maester pycelle
maester,grand maester pycelle
maester pycell,grand maester pycelle
benjen,benjen stark
a voice,guard
kevan,kevan lannister
viserys,viserys targaryen
davos,davos seaworth
aeron,aeron greyjoy
joffrey lannister,joffrey baratheon